	State	Action
0	((0, 0), '1')	aT
1	((0, 0), 'sink')	0
2	((0, 0), '0')	1
3	((0, 1), '1')	aT
4	((0, 1), 'sink')	0
5	((0, 1), '0')	2
6	((0, 2), '1')	aT
7	((0, 2), 'sink')	0
8	((0, 2), '0')	2
9	((0, 3), '1')	aT
10	((0, 3), 'sink')	0
11	((0, 3), '0')	0
12	((0, 4), '1')	aT
13	((0, 4), 'sink')	0
14	((0, 4), '0')	0
15	((0, 5), '1')	aT
16	((0, 5), 'sink')	0
17	((0, 5), '0')	0
18	((0, 6), '1')	aT
19	((0, 6), 'sink')	0
20	((0, 6), '0')	1
21	((0, 7), '1')	aT
22	((0, 7), 'sink')	0
23	((0, 7), '0')	1
24	((1, 0), '1')	aT
25	((1, 0), 'sink')	0
26	((1, 0), '0')	2
27	((1, 1), '1')	aT
28	((1, 1), 'sink')	0
29	((1, 1), '0')	2
30	((1, 2), '1')	aT
31	((1, 2), 'sink')	0
32	((1, 2), '0')	2
33	((1, 3), '1')	aT
34	((1, 3), 'sink')	0
35	((1, 3), '0')	0
36	((1, 4), '1')	aT
37	((1, 4), 'sink')	0
38	((1, 4), '0')	0
39	((1, 5), '1')	aT
40	((1, 5), 'sink')	0
41	((1, 5), '0')	0
42	((1, 6), '1')	aT
43	((1, 6), 'sink')	0
44	((1, 6), '0')	0
45	((1, 7), '1')	aT
46	((1, 7), 'sink')	0
47	((1, 7), '0')	2
48	((2, 0), '1')	aT
49	((2, 0), 'sink')	0
50	((2, 0), '0')	3
51	((2, 1), '1')	aT
52	((2, 1), 'sink')	0
53	((2, 1), '0')	2
54	((2, 2), '1')	aT
55	((2, 2), 'sink')	0
56	((2, 2), '0')	3
57	((2, 3), '1')	aT
58	((2, 3), 'sink')	0
59	((2, 3), '0')	2
60	((2, 4), '1')	aT
61	((2, 4), 'sink')	0
62	((2, 4), '0')	0
63	((2, 5), '1')	aT
64	((2, 5), 'sink')	0
65	((2, 5), '0')	0
66	((2, 6), '1')	aT
67	((2, 6), 'sink')	0
68	((2, 6), '0')	3
69	((2, 7), '1')	aT
70	((2, 7), 'sink')	0
71	((2, 7), '0')	3
72	((3, 0), '1')	aT
73	((3, 0), 'sink')	0
74	((3, 0), '0')	3
75	((3, 1), '1')	aT
76	((3, 1), 'sink')	0
77	((3, 1), '0')	2
78	((3, 2), '1')	aT
79	((3, 2), 'sink')	0
80	((3, 2), '0')	0
81	((3, 3), '1')	aT
82	((3, 3), 'sink')	0
83	((3, 3), '0')	0
84	((3, 4), '1')	aT
85	((3, 4), 'sink')	0
86	((3, 4), '0')	0
87	((3, 5), '1')	aT
88	((3, 5), 'sink')	0
89	((3, 5), '0')	3
90	((3, 6), '1')	aT
91	((3, 6), 'sink')	0
92	((3, 6), '0')	0
93	((3, 7), '1')	aT
94	((3, 7), 'sink')	0
95	((3, 7), '0')	0
96	((4, 0), '1')	aT
97	((4, 0), 'sink')	0
98	((4, 0), '0')	3
99	((4, 1), '1')	aT
100	((4, 1), 'sink')	0
101	((4, 1), '0')	2
102	((4, 2), '1')	aT
103	((4, 2), 'sink')	0
104	((4, 2), '0')	0
105	((4, 3), '1')	aT
106	((4, 3), 'sink')	0
107	((4, 3), '0')	0
108	((4, 4), '1')	aT
109	((4, 4), 'sink')	0
110	((4, 4), '0')	0
111	((4, 5), '1')	aT
112	((4, 5), 'sink')	0
113	((4, 5), '0')	2
114	((4, 6), '1')	aT
115	((4, 6), 'sink')	0
116	((4, 6), '0')	0
117	((4, 7), '1')	aT
118	((4, 7), 'sink')	0
119	((4, 7), '0')	0
120	((5, 0), '1')	aT
121	((5, 0), 'sink')	0
122	((5, 0), '0')	3
123	((5, 1), '1')	aT
124	((5, 1), 'sink')	0
125	((5, 1), '0')	2
126	((5, 2), '1')	aT
127	((5, 2), 'sink')	0
128	((5, 2), '0')	2
129	((5, 3), '1')	aT
130	((5, 3), 'sink')	0
131	((5, 3), '0')	1
132	((5, 4), '1')	aT
133	((5, 4), 'sink')	0
134	((5, 4), '0')	3
135	((5, 5), '1')	aT
136	((5, 5), 'sink')	0
137	((5, 5), '0')	3
138	((5, 6), '1')	aT
139	((5, 6), 'sink')	0
140	((5, 6), '0')	2
141	((5, 7), '1')	aT
142	((5, 7), 'sink')	0
143	((5, 7), '0')	1
144	((6, 0), '1')	aT
145	((6, 0), 'sink')	0
146	((6, 0), '0')	3
147	((6, 1), '1')	aT
148	((6, 1), 'sink')	0
149	((6, 1), '0')	3
150	((6, 2), '1')	aT
151	((6, 2), 'sink')	0
152	((6, 2), '0')	3
153	((6, 3), '1')	aT
154	((6, 3), 'sink')	0
155	((6, 3), '0')	2
156	((6, 4), '1')	aT
157	((6, 4), 'sink')	0
158	((6, 4), '0')	0
159	((6, 5), '1')	aT
160	((6, 5), 'sink')	0
161	((6, 5), '0')	3
162	((6, 6), '1')	aT
163	((6, 6), 'sink')	0
164	((6, 6), '0')	2
165	((6, 7), '1')	aT
166	((6, 7), 'sink')	0
167	((6, 7), '0')	2
168	((7, 0), '1')	aT
169	((7, 0), 'sink')	0
170	((7, 0), '0')	2
171	((7, 1), '1')	aT
172	((7, 1), 'sink')	0
173	((7, 1), '0')	0
174	((7, 2), '1')	aT
175	((7, 2), 'sink')	0
176	((7, 2), '0')	0
177	((7, 3), '1')	aT
178	((7, 3), 'sink')	0
179	((7, 3), '0')	3
180	((7, 4), '1')	aT
181	((7, 4), 'sink')	0
182	((7, 4), '0')	0
183	((7, 5), '1')	aT
184	((7, 5), 'sink')	0
185	((7, 5), '0')	0
186	((7, 6), '1')	aT
187	((7, 6), 'sink')	0
188	((7, 6), '0')	3
189	((7, 7), '1')	aT
190	((7, 7), 'sink')	0
191	((7, 7), '0')	2
192	('sT', '1')	aT
193	('sT', 'sink')	0
194	('sT', '0')	0
