	State	Value
0	((0, 0), ('0', '1'))	1.5359661345223337
1	((0, 0), ('1', '0'))	2.0
2	((0, 0), ('1', '1'))	2.0
3	((0, 0), 'sink')	0.0
4	((0, 0), ('0', '0'))	1.5354964321845856
5	((0, 1), ('0', '1'))	1.5225138631343522
6	((0, 1), ('1', '0'))	2.0
7	((0, 1), ('1', '1'))	2.0
8	((0, 1), 'sink')	0.0
9	((0, 1), ('0', '0'))	1.518239097414036
10	((0, 2), ('0', '1'))	1.5057508685120433
11	((0, 2), ('1', '0'))	2.0
12	((0, 2), ('1', '1'))	2.0
13	((0, 2), 'sink')	0.0
14	((0, 2), ('0', '0'))	1.5004257735988857
15	((0, 3), ('0', '1'))	1.0
16	((0, 3), ('1', '0'))	2.0
17	((0, 3), ('1', '1'))	2.0
18	((0, 3), 'sink')	0.0
19	((0, 3), ('0', '0'))	0.0
20	((0, 4), ('0', '1'))	1.0
21	((0, 4), ('1', '0'))	2.0
22	((0, 4), ('1', '1'))	2.0
23	((0, 4), 'sink')	0.0
24	((0, 4), ('0', '0'))	0.0
25	((0, 5), ('0', '1'))	1.643406100307041
26	((0, 5), ('1', '0'))	2.0
27	((0, 5), ('1', '1'))	2.0
28	((0, 5), 'sink')	0.0
29	((0, 5), ('0', '0'))	1.6387118854869522
30	((0, 6), ('0', '1'))	1.6566825762057311
31	((0, 6), ('1', '0'))	2.0
32	((0, 6), ('1', '1'))	2.0
33	((0, 6), 'sink')	0.0
34	((0, 6), ('0', '0'))	1.6561674139220235
35	((0, 7), ('0', '1'))	1.6382954221967887
36	((0, 7), ('1', '0'))	2.0
37	((0, 7), ('1', '1'))	2.0
38	((0, 7), 'sink')	0.0
39	((0, 7), ('0', '0'))	1.637785977585486
40	((1, 0), ('0', '1'))	1.5570411802453556
41	((1, 0), ('1', '0'))	2.0
42	((1, 0), ('1', '1'))	2.0
43	((1, 0), 'sink')	0.0
44	((1, 0), ('0', '0'))	1.537177433112294
45	((1, 1), ('0', '1'))	1.542151363426703
46	((1, 1), ('1', '0'))	2.0
47	((1, 1), ('1', '1'))	2.0
48	((1, 1), 'sink')	0.0
49	((1, 1), ('0', '0'))	1.5335379038369183
50	((1, 2), ('0', '1'))	1.5237429588580247
51	((1, 2), ('1', '0'))	2.0
52	((1, 2), ('1', '1'))	2.0
53	((1, 2), 'sink')	0.0
54	((1, 2), ('0', '0'))	1.5094773420270655
55	((1, 3), ('0', '1'))	1.0
56	((1, 3), ('1', '0'))	2.0
57	((1, 3), ('1', '1'))	2.0
58	((1, 3), 'sink')	0.0
59	((1, 3), ('0', '0'))	0.0
60	((1, 4), ('0', '1'))	1.0
61	((1, 4), ('1', '0'))	2.0
62	((1, 4), ('1', '1'))	2.0
63	((1, 4), 'sink')	0.0
64	((1, 4), ('0', '0'))	0.0
65	((1, 5), ('0', '1'))	1.703194909310151
66	((1, 5), ('1', '0'))	2.0
67	((1, 5), ('1', '1'))	2.0
68	((1, 5), 'sink')	0.0
69	((1, 5), ('0', '0'))	1.6645941110858893
70	((1, 6), ('0', '1'))	1.681558239239712
71	((1, 6), ('1', '0'))	2.0
72	((1, 6), ('1', '1'))	2.0
73	((1, 6), 'sink')	0.0
74	((1, 6), ('0', '0'))	1.647113926955808
75	((1, 7), ('0', '1'))	1.6566825762057311
76	((1, 7), ('1', '0'))	2.0
77	((1, 7), ('1', '1'))	2.0
78	((1, 7), 'sink')	0.0
79	((1, 7), ('0', '0'))	1.6561674139220237
80	((2, 0), ('0', '1'))	1.57856201820937
81	((2, 0), ('1', '0'))	2.0
82	((2, 0), ('1', '1'))	2.0
83	((2, 0), 'sink')	0.0
84	((2, 0), ('0', '0'))	1.535218904764627
85	((2, 1), ('0', '1'))	1.5620627950195307
86	((2, 1), ('1', '0'))	2.0
87	((2, 1), ('1', '1'))	2.0
88	((2, 1), 'sink')	0.0
89	((2, 1), ('0', '0'))	1.515713317561687
90	((2, 2), ('0', '1'))	1.5483812428422603
91	((2, 2), ('1', '0'))	2.0
92	((2, 2), ('1', '1'))	2.0
93	((2, 2), 'sink')	0.0
94	((2, 2), ('0', '0'))	1.4785168747670314
95	((2, 3), ('0', '1'))	1.6395589519132778
96	((2, 3), ('1', '0'))	2.0
97	((2, 3), ('1', '1'))	2.0
98	((2, 3), 'sink')	0.0
99	((2, 3), ('0', '0'))	1.34298183275746
100	((2, 4), ('0', '1'))	1.8201501918096938
101	((2, 4), ('1', '0'))	2.0
102	((2, 4), ('1', '1'))	2.0
103	((2, 4), 'sink')	0.0
104	((2, 4), ('0', '0'))	1.6956841322695204
105	((2, 5), ('0', '1'))	1.8153038429613884
106	((2, 5), ('1', '0'))	2.0
107	((2, 5), ('1', '1'))	2.0
108	((2, 5), 'sink')	0.0
