	State	Value
0	((0, 0), 'sink')	0.0
1	((0, 0), ('0', '1'))	1.5359661345223337
2	((0, 0), ('0', '0'))	1.5354964321845856
3	((0, 0), ('1', '1'))	2.0
4	((0, 0), ('1', '0'))	2.0
5	((0, 1), 'sink')	0.0
6	((0, 1), ('0', '1'))	1.5225138631343522
7	((0, 1), ('0', '0'))	1.518239097414036
8	((0, 1), ('1', '1'))	2.0
9	((0, 1), ('1', '0'))	2.0
10	((0, 2), 'sink')	0.0
11	((0, 2), ('0', '1'))	1.5057508685120433
12	((0, 2), ('0', '0'))	1.5004257735988857
13	((0, 2), ('1', '1'))	2.0
14	((0, 2), ('1', '0'))	2.0
15	((0, 3), 'sink')	0.0
16	((0, 3), ('0', '1'))	1.0
17	((0, 3), ('0', '0'))	0.0
18	((0, 3), ('1', '1'))	2.0
19	((0, 3), ('1', '0'))	2.0
20	((0, 4), 'sink')	0.0
21	((0, 4), ('0', '1'))	1.0
22	((0, 4), ('0', '0'))	0.0
23	((0, 4), ('1', '1'))	2.0
24	((0, 4), ('1', '0'))	2.0
25	((0, 5), 'sink')	0.0
26	((0, 5), ('0', '1'))	1.643406100307041
27	((0, 5), ('0', '0'))	1.6387118854869522
28	((0, 5), ('1', '1'))	2.0
29	((0, 5), ('1', '0'))	2.0
30	((0, 6), 'sink')	0.0
31	((0, 6), ('0', '1'))	1.6566825762057311
32	((0, 6), ('0', '0'))	1.6561674139220235
33	((0, 6), ('1', '1'))	2.0
34	((0, 6), ('1', '0'))	2.0
35	((0, 7), 'sink')	0.0
36	((0, 7), ('0', '1'))	1.6382954221967887
37	((0, 7), ('0', '0'))	1.637785977585486
38	((0, 7), ('1', '1'))	2.0
39	((0, 7), ('1', '0'))	2.0
40	((1, 0), 'sink')	0.0
41	((1, 0), ('0', '1'))	1.5570411802453556
42	((1, 0), ('0', '0'))	1.537177433112294
43	((1, 0), ('1', '1'))	2.0
44	((1, 0), ('1', '0'))	2.0
45	((1, 1), 'sink')	0.0
46	((1, 1), ('0', '1'))	1.542151363426703
47	((1, 1), ('0', '0'))	1.5335379038369183
48	((1, 1), ('1', '1'))	2.0
49	((1, 1), ('1', '0'))	2.0
50	((1, 2), 'sink')	0.0
51	((1, 2), ('0', '1'))	1.5237429588580247
52	((1, 2), ('0', '0'))	1.5094773420270655
53	((1, 2), ('1', '1'))	2.0
54	((1, 2), ('1', '0'))	2.0
55	((1, 3), 'sink')	0.0
56	((1, 3), ('0', '1'))	1.0
57	((1, 3), ('0', '0'))	0.0
58	((1, 3), ('1', '1'))	2.0
59	((1, 3), ('1', '0'))	2.0
60	((1, 4), 'sink')	0.0
61	((1, 4), ('0', '1'))	1.0
62	((1, 4), ('0', '0'))	0.0
63	((1, 4), ('1', '1'))	2.0
64	((1, 4), ('1', '0'))	2.0
65	((1, 5), 'sink')	0.0
66	((1, 5), ('0', '1'))	1.703194909310151
67	((1, 5), ('0', '0'))	1.6645941110858893
68	((1, 5), ('1', '1'))	2.0
69	((1, 5), ('1', '0'))	2.0
70	((1, 6), 'sink')	0.0
71	((1, 6), ('0', '1'))	1.681558239239712
72	((1, 6), ('0', '0'))	1.647113926955808
73	((1, 6), ('1', '1'))	2.0
74	((1, 6), ('1', '0'))	2.0
75	((1, 7), 'sink')	0.0
76	((1, 7), ('0', '1'))	1.6566825762057311
77	((1, 7), ('0', '0'))	1.6561674139220237
78	((1, 7), ('1', '1'))	2.0
79	((1, 7), ('1', '0'))	2.0
80	((2, 0), 'sink')	0.0
81	((2, 0), ('0', '1'))	1.57856201820937
82	((2, 0), ('0', '0'))	1.535218904764627
83	((2, 0), ('1', '1'))	2.0
84	((2, 0), ('1', '0'))	2.0
85	((2, 1), 'sink')	0.0
86	((2, 1), ('0', '1'))	1.5620627950195307
87	((2, 1), ('0', '0'))	1.515713317561687
88	((2, 1), ('1', '1'))	2.0
89	((2, 1), ('1', '0'))	2.0
90	((2, 2), 'sink')	0.0
91	((2, 2), ('0', '1'))	1.5483812428422603
92	((2, 2), ('0', '0'))	1.4785168747670314
93	((2, 2), ('1', '1'))	2.0
94	((2, 2), ('1', '0'))	2.0
95	((2, 3), 'sink')	0.0
96	((2, 3), ('0', '1'))	1.6395589519132778
97	((2, 3), ('0', '0'))	1.34298183275746
98	((2, 3), ('1', '1'))	2.0
99	((2, 3), ('1', '0'))	2.0
100	((2, 4), 'sink')	0.0
101	((2, 4), ('0', '1'))	1.8201501918096938
102	((2, 4), ('0', '0'))	1.6956841322695204
103	((2, 4), ('1', '1'))	2.0
104	((2, 4), ('1', '0'))	2.0
105	((2, 5), 'sink')	0.0
106	((2, 5), ('0', '1'))	1.8153038429613884
107	((2, 5), ('0', '0'))	1.7229041307558488
108	((2, 5), ('1', '1'))	2.0
109	((2, 5), ('1', '0'))	2.0
110	((2, 6), 'sink')	0.0
111	((2, 6), ('0', '1'))	1.7031949093101513
112	((2, 6), ('0', '0'))	1.6645941110858895
113	((2, 6), ('1', '1'))	2.0
114	((2, 6), ('1', '0'))	2.0
115	((2, 7), 'sink')	0.0
116	((2, 7), ('0', '1'))	1.6434061003070413
117	((2, 7), ('0', '0'))	1.6387118854869542
118	((2, 7), ('1', '1'))	2.0
119	((2, 7), ('1', '0'))	2.0
120	((3, 0), 'sink')	0.0
121	((3, 0), ('0', '1'))	1.600555759721855
122	((3, 0), ('0', '0'))	1.51375478921402
123	((3, 0), ('1', '1'))	2.0
124	((3, 0), ('1', '0'))	2.0
125	((3, 1), 'sink')	0.0
126	((3, 1), ('0', '1'))	1.5814336012315895
127	((3, 1), ('0', '0'))	1.4949463889721972
128	((3, 1), ('1', '1'))	2.0
129	((3, 1), ('1', '0'))	2.0
130	((3, 2), 'sink')	0.0
131	((3, 2), ('0', '1'))	1.0
132	((3, 2), ('0', '0'))	0.0
133	((3, 2), ('1', '1'))	2.0
134	((3, 2), ('1', '0'))	2.0
135	((3, 3), 'sink')	0.0
136	((3, 3), ('0', '1'))	1.0
137	((3, 3), ('0', '0'))	0.0
138	((3, 3), ('1', '1'))	2.0
139	((3, 3), ('1', '0'))	2.0
140	((3, 4), 'sink')	0.0
141	((3, 4), ('0', '1'))	1.8663115847438154
142	((3, 4), ('0', '0'))	1.757779573082958
143	((3, 4), ('1', '1'))	2.0
144	((3, 4), ('1', '0'))	2.0
145	((3, 5), 'sink')	0.0
146	((3, 5), ('0', '1'))	1.8516321691294488
147	((3, 5), ('0', '0'))	1.755349223060181
148	((3, 5), ('1', '1'))	2.0
149	((3, 5), ('1', '0'))	2.0
150	((3, 6), 'sink')	0.0
151	((3, 6), ('0', '1'))	1.0
152	((3, 6), ('0', '0'))	0.0
153	((3, 6), ('1', '1'))	2.0
154	((3, 6), ('1', '0'))	2.0
155	((3, 7), 'sink')	0.0
156	((3, 7), ('0', '1'))	1.0
157	((3, 7), ('0', '0'))	0.0
158	((3, 7), ('1', '1'))	2.0
159	((3, 7), ('1', '0'))	2.0
160	((4, 0), 'sink')	0.0
161	((4, 0), ('0', '1'))	1.6231550669033634
162	((4, 0), ('0', '0'))	1.4926645621904442
163	((4, 0), ('1', '1'))	2.0
164	((4, 0), ('1', '0'))	2.0
165	((4, 1), 'sink')	0.0
166	((4, 1), ('0', '1'))	1.6075679073226996
167	((4, 1), ('0', '0'))	1.4747169442028913
168	((4, 1), ('1', '1'))	2.0
169	((4, 1), ('1', '0'))	2.0
170	((4, 2), 'sink')	0.0
171	((4, 2), ('0', '1'))	1.0
