	State	Action
0	((0, 0), 'sink')	0
1	((0, 0), '1')	1
2	((0, 0), '2')	aT
3	((0, 0), '0')	1
4	((0, 1), 'sink')	0
5	((0, 1), '1')	2
6	((0, 1), '2')	aT
7	((0, 1), '0')	1
8	((0, 2), 'sink')	0
9	((0, 2), '1')	2
10	((0, 2), '2')	aT
11	((0, 2), '0')	2
12	((0, 3), 'sink')	0
13	((0, 3), '1')	0
14	((0, 3), '2')	aT
15	((0, 3), '0')	0
16	((0, 4), 'sink')	0
17	((0, 4), '1')	0
18	((0, 4), '2')	aT
19	((0, 4), '0')	0
20	((0, 5), 'sink')	0
21	((0, 5), '1')	0
22	((0, 5), '2')	aT
23	((0, 5), '0')	0
24	((0, 6), 'sink')	0
25	((0, 6), '1')	1
26	((0, 6), '2')	aT
27	((0, 6), '0')	1
28	((0, 7), 'sink')	0
29	((0, 7), '1')	1
30	((0, 7), '2')	aT
31	((0, 7), '0')	1
32	((1, 0), 'sink')	0
33	((1, 0), '1')	2
34	((1, 0), '2')	aT
35	((1, 0), '0')	1
36	((1, 1), 'sink')	0
37	((1, 1), '1')	2
38	((1, 1), '2')	aT
39	((1, 1), '0')	1
40	((1, 2), 'sink')	0
41	((1, 2), '1')	2
42	((1, 2), '2')	aT
43	((1, 2), '0')	2
44	((1, 3), 'sink')	0
45	((1, 3), '1')	0
46	((1, 3), '2')	aT
47	((1, 3), '0')	0
48	((1, 4), 'sink')	0
49	((1, 4), '1')	0
50	((1, 4), '2')	aT
51	((1, 4), '0')	0
52	((1, 5), 'sink')	0
53	((1, 5), '1')	1
54	((1, 5), '2')	aT
55	((1, 5), '0')	0
56	((1, 6), 'sink')	0
57	((1, 6), '1')	1
58	((1, 6), '2')	aT
59	((1, 6), '0')	0
60	((1, 7), 'sink')	0
61	((1, 7), '1')	2
62	((1, 7), '2')	aT
63	((1, 7), '0')	2
64	((2, 0), 'sink')	0
65	((2, 0), '1')	3
66	((2, 0), '2')	aT
67	((2, 0), '0')	1
68	((2, 1), 'sink')	0
69	((2, 1), '1')	2
70	((2, 1), '2')	aT
71	((2, 1), '0')	2
72	((2, 2), 'sink')	0
73	((2, 2), '1')	3
74	((2, 2), '2')	aT
75	((2, 2), '0')	3
76	((2, 3), 'sink')	0
77	((2, 3), '1')	2
78	((2, 3), '2')	aT
79	((2, 3), '0')	0
80	((2, 4), 'sink')	0
81	((2, 4), '1')	2
82	((2, 4), '2')	aT
83	((2, 4), '0')	1
84	((2, 5), 'sink')	0
85	((2, 5), '1')	2
86	((2, 5), '2')	aT
87	((2, 5), '0')	0
88	((2, 6), 'sink')	0
89	((2, 6), '1')	2
90	((2, 6), '2')	aT
91	((2, 6), '0')	3
92	((2, 7), 'sink')	0
93	((2, 7), '1')	3
94	((2, 7), '2')	aT
95	((2, 7), '0')	3
96	((3, 0), 'sink')	0
97	((3, 0), '1')	3
98	((3, 0), '2')	aT
99	((3, 0), '0')	1
100	((3, 1), 'sink')	0
101	((3, 1), '1')	2
